path	musuw_change	upstream_change	final_mode	final_blob	resolution	mapped_target_path	evidence
config/prompt_templates/intent_prompts.yaml	M	-	100644	d4f952c792260e08cb83bcc03b64b1de76eb2bf2	preserve-musuw-exact		audited local-only content is byte-identical
config/prompt_templates/system_prompt.yaml	M	-	100644	3ae504933a8b5b7579b8e15a8822826555561e54	preserve-musuw-exact		audited local-only content is byte-identical
docker-compose.yml	M	M	100644	e040db895d18876bce6b9138510c919122cba074	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
docker/Dockerfile.app	-	M	100644	a15ef60796f5ccc0440c9b7113b9cd1fa7d47d94	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docker/Dockerfile.sandbox	-	M	100644	0c08898b29e25ab480862a21b3edf54efbfec734	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docker/searxng/settings.yml	M	-	100644	82f1d28279a3628f158a4b5a5697a300ae168676	preserve-musuw-exact		audited local-only content is byte-identical
docreader/parser/docx_merge.py	-	A	100644	ec00062ec73f00cf44a6a40cf845d4f357b31cb5	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/docx_parser.py	-	M	100644	f9820069fe341b41ea5b53b9412352e808e7d5d9	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/markdown_parser.py	-	M	100644	937f3c220e3ca71a2200a51fa30797f6338722f8	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/markitdown_parser.py	-	M	100644	f2a28915d041f548e77b71bb62056d2622775c07	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/mhtml_parser.py	-	M	100644	8103d11f79a559c1d1934ef36a66c5bd06ba04c8	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/opendataloader_parser.py	-	M	100644	bdb96c28dc3d403ab82868f867e61d4717529976	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/pdf_parser.py	-	M	100644	4a54196521bdef3afbd6fa507fe90ade15204dd3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/registry.py	-	M	100644	330c0211adece83a010819aaa0d26d269cc312d8	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/web_parser.py	-	M	100644	8ef9434096e47fdb4b3b91a6081c298585216232	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/xlsx_merge.py	-	M	100644	a0613bdb8e33cb0aaaafee6e8ff180ea249df469	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/parser/xmind_parser.py	-	A	100644	90ae3c00b15472a1b3011bfd546ee0bedc24ed67	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/pyproject.toml	-	M	100644	60c63a976c76910c74723188a7c630a5dace1a52	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/fixtures/generate_issue_2634_fixture.py	-	A	100644	ca2c300f118baddf480b372258ea4dc98bef6f1b	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/fixtures/issue_2634_vertical_merge.docx	-	A	100644	c03366f5558de2708b5bb071cbb8b16e0e6cd037	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_docx_merge.py	-	A	100644	a86f901b8da2a849b2f61d1bcf824f40a9620965	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_docx_tables.py	-	A	100644	b3338d4fe84eecaba409f69cbce9a8e508fcb150	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_excel_parser.py	-	M	100644	682613ff2c2fc3c0c164b62a222706f1cf0bf03f	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_markdown_table_util.py	-	M	100644	c26b357066dbbd1372ebaffb17886943d0f13386	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_mhtml_parser.py	-	M	100644	1d98fa761b0ff73f81289f3f46dcbfebd2c36b02	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_opendataloader_parser.py	-	M	100644	70792dcd74275f7765221c2bd0355fc6605095c4	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_parser_routing.py	-	M	100644	505f2a5931595a29edfbb8a1b9221710322a7a7f	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_pdf_embedded_images.py	-	A	100644	d435a9c7fcd6a78303bbb99b91bb47dd466bc2a3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_ssrf.py	-	M	100644	a4f944dbc9b32c8575bcfdffa3b2b1b7c2bf2440	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_web_parser.py	-	M	100644	677a259b07c72f8bff76225f491925578f0b94a1	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/tests/test_xmind_parser.py	-	A	100644	1d92e63e5fe8f3dfcc934bef991e983ab85b7ba3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docreader/utils/ssrf.py	-	M	100644	0531a2582a52eb7370c3118654781fdfa7d2dcd5	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
docreader/uv.lock	-	M	100644	dd3676aca8fee21d2995883feebbb2f969ee535b	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/IM集成开发文档.md	-	M	100644	f961be0a54fa8797cf107edd483d8b655866c2fe	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/KnowledgeGraph.md	-	M	100644	1eb9e194ebf6e3400a7ef0f2a1ff155ba6cc91e6	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/QA.md	M	-	100644	0f158122836ede2b5059cef5dfcc24061ca3b871	preserve-musuw-exact		audited local-only content is byte-identical
docs/agent-skills.md	-	M	100644	4fa1f8ad817568d7b2328b40bf51b227d1b78729	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
docs/api/README.md	-	M	100644	4b36856133cda1660545bb2502b66ae6eaedc3bf	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/auth.md	-	M	100644	8999914edb9bd077512c581e1a6fadb87fe0eb6a	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/chat.md	-	M	100644	25a8e0cecc257f5f9f536fffdf3d5619a5631186	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/knowledge-base.md	-	M	100644	65f06a2e93732efb10c58f020bb72382cf9e4a7d	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/knowledge.md	-	M	100644	f0a091c8c23db26fe888da5992eb8ef8447571a2	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/skill.md	-	M	100644	b0268453500d452da8c243156dcaecad664dc8e7	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/system.md	-	M	100644	1efe0b05beddab75fbd52b613170965aa3fc40d7	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/api/tenant.md	M	M	100644	0b4aa98a0f091b30d86ea7968844831b6848acfb	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
docs/docs.go	M	M	100644	08c0ea2fa4a1f862687a277650b696c89ee4822d	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
docs/embed-secure-mode.md	M	-	100644	0a339c9a4e69c00a7c07740af0e41f4b0fe9c0fd	preserve-musuw-exact		audited local-only content is byte-identical
docs/embed-subdomain.md	M	-	100644	cdaec21081950b7d258a781239dd05a37cc1d979	preserve-musuw-exact		audited local-only content is byte-identical
docs/poc/docker-sandbox/README.md	-	A	100644	9062598fafc3654b6634efb4dbe30c075eb0c42d	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/poc/docker-sandbox/go.mod	-	A	100644	283b783317a4fc4530548b64ca8d2dca251eae08	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/poc/docker-sandbox/go.sum	-	A	100644	b5499c4e302a8d6ff57992876707e96c582e06dc	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/poc/docker-sandbox/main.go	-	A	100644	571bd8af3da8986825f9216a980d544f98322257	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/sandbox-cluster.md	-	A	100644	d6b0ab5dd5c2c527fe9a1a18cf482d2731fa6f42	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/sandbox-docker-backend.md	-	A	100644	2cf098ea260af4df34ea5bc4b6ceed500fbbf9ad	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
docs/sandbox-protocol.md	-	A	100644	23a7908318ae37f4f60237a554cf4ecafaf3b4e3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/swagger.json	M	M	100644	34dd836c353f4a02f241eb77dce576b0fb04157a	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
docs/swagger.yaml	M	M	100644	acdec96d2ba1c062f5f053f2bac8a29aec8c8126	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
docs/swagger_contract_test.go	-	A	100644	e701ee62ec830b1e698fc36780f395b9956e8604	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
docs/wiki/核心功能/Agent技能系统.md	-	M	100644	1327ec6564daa8f98e5b1f10e98d98de403b02b0	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
docs/wiki/核心功能/知识图谱.md	-	M	100644	5c8bea6bfaf15c6ebe27291f05faacdc8afcfd73	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/docker-entrypoint.sh	M	M	100644	e2fae3e58ad2b1c4e2c0237923c5d072f5703400	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
frontend/embed.html	M	-	100644	de977639553792698cc7279fd460b950fe324cd7	preserve-musuw-exact		audited local-only content is byte-identical
frontend/index.html	M	-	100644	5725c12d79a4ecac9b7b0af2fdafbbce298472f9	preserve-musuw-exact		audited local-only content is byte-identical
frontend/nginx.conf	M	-	100644	f78be4c3509a18328f5d85f61fd0d8b49d1ca37f	preserve-musuw-exact		audited local-only content is byte-identical
frontend/operations.html	A	-	100644	39a0cceaf770893a1d1f58d11656a663a0caafef	preserve-musuw-exact		audited local-only content is byte-identical
frontend/package-lock.json	M	M	100644	5c60b5664f7beb4545a6ad6782e4dbc5ec5527de	preserve-musuw-exact		overlap review retained the audited Musuw content exactly
frontend/package.json	M	-	100644	86af2b3842e637b8f2d15edd1489178f97e0893d	preserve-musuw-exact		audited local-only content is byte-identical
frontend/public/config.js	-	M	100644	b08839ea43d6a75c0a4d6ef76e4e6b27bf88a1db	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/public/favicon.ico	M	-	100644	23ca0291594381bb5f8b1cfe1ade07891195dc1e	preserve-musuw-exact		audited local-only content is byte-identical
frontend/public/musuw-logo.png	A	-	100644	8f274960e871d5dbb103c39ea96b565e854867f4	preserve-musuw-exact		audited local-only content is byte-identical
frontend/public/musuw-widget.js	A	-	100644	9143e4db5714b436232e105108eb8c4416d55085	preserve-musuw-exact		audited local-only content is byte-identical
frontend/public/vendor/obsidian-1.13.7/README.md	A	-	100644	d33b148cafc0d8898916b5cb838c5b0f9764ff65	preserve-musuw-exact		audited local-only content is byte-identical
frontend/public/vendor/obsidian-1.13.7/graph-sim.js	A	-	100644	362337778dade7ebf2477911eb19a64981cc5440	preserve-musuw-exact		audited local-only content is byte-identical
frontend/public/weknora-widget.js	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
frontend/src/App.oidc-error.test.mjs	A	-	100644	a3c07150a72e95ccc53a7a3c6743fb8f3ead20fb	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/App.oidc-performance.test.mjs	A	-	100644	6172260ef5aea97e348deace9d532edd87129a49	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/App.vue	M	M	100644	23214ac8c26a8fd25452cfbd5609810c5dcfe35d	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
frontend/src/api/agent/index.ts	-	M	100644	6f81abcd8f9cb989723d17e56ff306aa1b354aab	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
frontend/src/api/auth/index.ts	M	M	100644	9b54889ca47d12e832ec6d57c8d5d8b987784e90	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
frontend/src/api/chat/index.ts	-	M	100644	0fb4b5f8d9af1d344cd9693bc7f7f4fed1bff65b	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/chat/streame.ts	M	-	100644	91e747a7c9b287b01ac56a1175b5c1f3571ba610	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/api/embed/index.ts	M	-	100644	f56b291760ed832bef2685fc329d054bdadd68e7	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/api/entitlement.ts	A	-	100644	271249d486ef18c3d6c99d99b05844e5e1895151	adapt-musuw-for-target		audited Musuw path retained and adapted at its existing owner for the target contract
frontend/src/api/env-vars.ts	-	A	100644	a46d8abe8b3606e0829f34fe7475288604c13a81	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/knowledge-base/index.ts	M	M	100644	606031039b5a140895b214b1734bf5c40cdb3225	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
frontend/src/api/memory.ts	-	A	100644	2c25f810203769345b37baa8c006d42e9802aaa4	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
frontend/src/api/model/consumerSceneOptions.test.mjs	A	-	100644	88efe876477e4b0de01bef43e0552a3e4d879de2	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/api/model/index.ts	M	-	100644	d75e604f04045c10e62f3b947b7be5a325ee96bb	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/api/organization/index.ts	M	-	100644	67221fe611676e0b95eb6e3879a90cc52defd292	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/api/skill/index.ts	-	M	100644	5610fc66809314973fdf2ea7093e45599ea29dcc	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/system/index.ts	-	M	100644	127881046ead9a11dc36e1f80155bb6b5dab30c6	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/tenant/index.ts	-	M	100644	ae5baf1eefede179f5af383bf399aee75ddabdf3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/tenant/invitations.ts	-	M	100644	fcd16866c011fc17227b610c51ed7c87ce2f33ac	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/web-search-provider.ts	-	M	100644	03cd0690cb281a10cdcd8156926a1523be72e188	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/api/wiki/index.ts	-	M	100644	ea5f295a8a277f1409c02aef677e61e80542a7fd	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/assets/AgentKnowledgeCardParity.test.mjs	A	-	100644	4f57fac100e36869e4fe0d5fe299372b1108aa72	adapt-musuw-for-target		audited Musuw path retained and adapted at its existing owner for the target contract
frontend/src/assets/business-baselines/ChatIndex.pre-view.vue	A	-	100644	a678a30cc2dc24f8f48797a0dfb390cbb75e8c88	adapt-musuw-for-target		audited Musuw path retained and adapted at its existing owner for the target contract
frontend/src/assets/business-baselines/Input-field.pre-view.vue	A	-	100644	11bc2cb650979eb55e367d370980051fa6caa429	adapt-musuw-for-target		audited Musuw path retained and adapted at its existing owner for the target contract
frontend/src/assets/business-baselines/KnowledgeBase.pre-view.vue	A	-	100644	d08464ac13257d540aa2089298a1c472a7650e74	adapt-musuw-for-target		audited Musuw path retained and adapted at its existing owner for the target contract
frontend/src/assets/business-baselines/KnowledgeBaseList.pre-view.vue	A	-	100644	c49c30b1e68b3e99b8965b447eadac4bfc268249	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/assets/business-baselines/manual-knowledge-editor.pre-view.vue	A	-	100644	4b6090b0ee24ffbcc97ccdd3f70220cd44966a8e	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/assets/business-baselines/menu.pre-view.vue	A	-	100644	7686bad141078b5c7ad25f8bae21a3b4a8d158b1	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/assets/drawerRootPaintContract.test.mjs	A	-	100644	1dde5c4cf7f4c2c7538cf50e32caf8a062bd2190	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/assets/fonts.css	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
frontend/src/assets/fonts/TencentSans.ttf	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
frontend/src/assets/img/datasource-gitlab.png	-	A	100644	3db779d4f74f8bfd3bbb596d60a0e0c3b6dfa031	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/assets/img/datasource-ima.png	-	A	100644	8e70f2f5af1ffe8273d6eb80bc1406342862150c	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/assets/img/providers/mono/sandbox/docker.svg	-	A	100644	0021a8a7b34c50389e48d7035b19067f2d909fe3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
frontend/src/assets/img/screenshot-1.svg	M	-	100644	21fd4b036b687ada66356802a1035316f4786691	preserve-musuw-exact		audited local-only content is byte-identical
frontend/src/assets/img/weknora.png	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
